,spot,vol,bs,pv
0,3.0,0.06,9.871044909346184e-24,0.0
1,3.0,0.09032258064516129,9.271037569979459e-12,0.0
2,3.0,0.12064516129032257,1.9921958022539167e-07,0.0
3,3.0,0.15096774193548385,2.5046399108267245e-05,8.496657628648733e-05
4,3.0,0.18129032258064515,0.0003999635989761141,0.0004006723834753446
5,3.0,0.21161290322580645,0.002350760743601653,0.002169028931860513
6,3.0,0.24193548387096772,0.00797873607069325,0.010659350665545731
7,3.0,0.272258064516129,0.01946528324995593,0.02244866518264038
8,3.0,0.3025806451612903,0.03839407237529638,0.038470714561637046
9,3.0,0.3329032258064516,0.06555009265869005,0.06338578680188756
10,3.0,0.3632258064516129,0.10102947424704872,0.10617667211826269
11,3.0,0.39354838709677414,0.14444659473920907,0.12131360771587933
12,3.0,0.42387096774193544,0.19512676644711408,0.16953427431094528
13,3.0,0.45419354838709675,0.2522502074908753,0.23562565637917993
14,3.0,0.484516129032258,0.31494790239893483,0.27095581462169444
15,3.0,0.5148387096774193,0.3823604257385617,0.33144321796726955
16,3.0,0.5451612903225806,0.4536712677714162,0.373934242843599
17,3.0,0.5754838709677419,0.528123718306193,0.38941047084741487
18,3.0,0.6058064516129031,0.6050276454765435,0.4414724405322728
19,3.0,0.6361290322580644,0.6837603405256477,0.4892475003852629
20,3.0,0.6664516129032259,0.7637640696149957,0.5500974623510166
21,3.0,0.6967741935483871,0.8445419557613598,0.6011177343674649
22,3.0,0.7270967741935483,0.9256531602268233,0.6633216794909027
23,3.0,0.7574193548387096,1.006707922585194,0.6762145245158329
24,3.0,0.7877419354838708,1.0873627662458043,0.6979523396382321
25,3.0,0.8180645161290321,1.1673160236804607,0.7290416751834742
26,3.0,0.8483870967741935,1.246303745468822,0.7589934208327027
27,3.0,0.8787096774193548,1.3240960056688151,0.771412652392131
28,3.0,0.909032258064516,1.4004935879078575,0.8011958753301441
29,3.0,0.9393548387096773,1.4753250226071475,0.8182353179714955
30,3.0,0.9696774193548385,1.5484439400924992,0.9004181595384598
31,3.0,1.0,1.6197267034443075,0.8287698765994371
32,4.0,0.06,2.0706657832351384e-15,0.0
33,4.0,0.09032258064516129,6.054606896447992e-08,0.0
34,4.0,0.12064516129032257,3.4919445924789616e-05,0.00013778627160697176
35,4.0,0.15096774193548385,0.0008180689323205332,0.0007398000200749442
36,4.0,0.18129032258064515,0.005204592593923647,0.0043266596869365286
37,4.0,0.21161290322580645,0.01744458635848356,0.01873923305691533
38,4.0,0.24193548387096772,0.04089796135346066,0.037721404119913676
39,4.0,0.272258064516129,0.07708580292469297,0.07161946720839922
40,4.0,0.3025806451612903,0.12598790123445225,0.12352205377431537
41,4.0,0.3329032258064516,0.18665308155996352,0.17326062489526317
42,4.0,0.3632258064516129,0.2576921760460906,0.24278071650724145
43,4.0,0.39354838709677414,0.33758524583956484,0.300709507411389
44,4.0,0.42387096774193544,0.4248472419256475,0.3582726853033385
45,4.0,0.45419354838709675,0.51810590200998,0.42937520402280244
46,4.0,0.484516129032258,0.6161306007861234,0.5185317916043465
47,4.0,0.5148387096774193,0.7178358328652175,0.5783868553101121
48,4.0,0.5451612903225806,0.8222727118342649,0.6129997479024111
49,4.0,0.5754838709677419,0.9286156671265913,0.7149794199224442
50,4.0,0.6058064516129031,1.0361480071011606,0.7249408269428012
51,4.0,0.6361290322580644,1.1442480992076485,0.8106545990438427
52,4.0,0.6664516129032259,1.2523769030301364,0.8434879696093424
53,4.0,0.6967741935483871,1.3600670733539937,0.8678613854958898
54,4.0,0.7270967741935483,1.4669135994088391,0.9280632707800991
55,4.0,0.7574193548387096,1.572565836850727,1.0289509444531824
56,4.0,0.7877419354838708,1.6767207521242482,1.036415420470996
57,4.0,0.8180645161290321,1.77911719761899,1.0399050214660535
58,4.0,0.8483870967741935,1.8795310509140741,1.089555780455125
59,4.0,0.8787096774193548,1.9777710722419999,1.1331650655844692
60,4.0,0.909032258064516,2.073675356041958,1.1824193562814103
61,4.0,0.9393548387096773,2.1671082727677695,1.19428528484379
62,4.0,0.9696774193548385,2.2579578150375745,1.2251688972319155
63,4.0,1.0,2.34613327754744,1.2671216358407
64,5.0,0.06,2.734851015395975e-10,0.0
65,5.0,0.09032258064516129,1.4789021856582703e-05,0.0
66,5.0,0.12064516129032257,0.0009409104134179419,0.0005936354264408035
67,5.0,0.15096774193548385,0.007862328206001634,0.006067053676686226
68,5.0,0.18129032258064515,0.028305076971272408,0.026646834530647374
69,5.0,0.21161290322580645,0.06681419899005131,0.056054974534689064
70,5.0,0.24193548387096772,0.12407499197027422,0.12449604789764962
71,5.0,0.272258064516129,0.19849027369453942,0.18626083705269922
72,5.0,0.3025806451612903,0.2875805763798641,0.2959019645543021
73,5.0,0.3329032258064516,0.38874509639287635,0.356685277920874
74,5.0,0.3632258064516129,0.49958767335258314,0.45309288797463443
75,5.0,0.39354838709677414,0.6180206035534579,0.5533462687253633
76,5.0,0.42387096774193544,0.7422703146907497,0.6513278925607024
77,5.0,0.45419354838709675,0.8708458155895515,0.7224749793761976
78,5.0,0.484516129032258,1.0024972184449847,0.7834119628758526
79,5.0,0.5148387096774193,1.1361755123003168,0.8984576537021276
80,5.0,0.5451612903225806,1.270997478284745,0.9843542908517149
81,5.0,0.5754838709677419,1.4062165220095646,1.0026444768742084
82,5.0,0.6058064516129031,1.5411989826829755,1.1175856625341327
83,5.0,0.6361290322580644,1.6754050966961567,1.129737301337993
84,5.0,0.6664516129032259,1.8083737582438866,1.161505986354121
85,5.0,0.6967741935483871,1.9397103129314845,1.2397676110393827
